"2020/07/30 16:47:38:327" "DEBUG  " "   Seq Log     " "Reached pos --> x: -88.83067, y: -344.2244, z: -6.378994, pitch: -62.132"
"2020/07/30 16:47:39:857" "MESSAGE" "5.2.IR10       " "Pick And Place: Running"
"2020/07/30 16:47:40:023" "DEBUG  " "   Seq Log     " "Reached pos --> x: -87.99503, y: -334.0933, z: -6.379023, pitch: -62.133"
"2020/07/30 16:47:40:023" "DEBUG  " "   Seq Log     " "Arm move to buffer 1 pick position"
"2020/07/30 16:47:40:023" "DEBUG  " "   Seq Log     " "XY tray pick pos: -175.995, -304.238, XY AO: 0.0, 0.0, X pick offset: 0.0"
"2020/07/30 16:47:40:023" "DEBUG  " "   Seq Log     " "Final XY tray pick pos to be moved --> x: -175.995, y: -304.238"
"2020/07/30 16:47:40:353" "DEBUG  " "   Seq Log     " "Reached pos --> x: -175.2734, y: -304.2524, z: -6.379, pitch: -62.133"
"2020/07/30 16:47:40:367" "DEBUG  " "   Seq Log     " "Pick Head 1 down, vacuum ON"
"2020/07/30 16:47:40:367" "DEBUG  " "   Seq Log     " "Move Z to buffer 1 pick position"
"2020/07/30 16:47:41:162" "DEBUG  " "   Seq Log     " "Reached pos --> x: -175.9952, y: -304.2392, z: -19.17801, pitch: -62.1325"
"2020/07/30 16:47:41:162" "DEBUG  " "   Seq Log     " "Unit Count : 17589.0"
"2020/07/30 16:47:41:162" "DEBUG  " "   Seq Log     " "Z move to standby and pick heads cylinder up"
"2020/07/30 16:47:41:373" "DEBUG  " "   Seq Log     " "Reached pos --> x: -175.996, y: -304.2399, z: -7.002817, pitch: -62.1325"
"2020/07/30 16:47:41:373" "DEBUG  " "   Seq Log     " "Check fail to pick"
"2020/07/30 16:47:41:373" "DEBUG  " "   Seq Log     " "Head 1: vacuum on TRUE, analog 3872, pressure -90.9161656544694"
"2020/07/30 16:47:41:373" "DEBUG  " "   Seq Log     " "Head 2: vacuum on FALSE, analog 9810, pressure -1.69377727591808e-1"
"2020/07/30 16:47:41:373" "DEBUG  " "   Seq Log     " "Head 3: vacuum on FALSE, analog 9879, pressure 8.07214575640103e-1"
"2020/07/30 16:47:41:373" "DEBUG  " "   Seq Log     " "Head 4: vacuum on FALSE, analog 9835, pressure 1.05288857692187e-1"
"2020/07/30 16:47:41:387" "DEBUG  " "   Seq Log     " "Pick unit from buffer lane 1 to standby done"
"2020/07/30 16:47:41:387" "INFO   " " Queuing Event " "PickAndPlaceCompleted,PNB.CELL.B04.LANE.01.TRAY.02.02,PNB.CELL.B04.STANDBY.01,PNB.CELL.B04.HEAD.01,1,0,Gang 0 "
"2020/07/30 16:47:41:387" "DEBUG  " "   Seq Log     " "----------Buffered PickAndPlace Completed----------"
"2020/07/30 16:47:41:387" "INFO   " "Event to TA[1] " "PickAndPlaceCompleted,PNB.CELL.B04.LANE.01.TRAY.02.02,PNB.CELL.B04.STANDBY.01,PNB.CELL.B04.HEAD.01,1,0,Gang 0 "
"2020/07/30 16:47:41:402" "MESSAGE" "5.2.IR10       " "Pick And Place: Idle"
"2020/07/30 16:47:43:952" "INFO   " "Cmd from TA[1] " "PNBShutterOpen,PNB.CELL.B04.SHUTTER,,,,,"
"2020/07/30 16:47:44:402" "DEBUG  " "   Seq Log     " "StartStage >>> Move Y, Z and pitch to socket standby position"
"2020/07/30 16:47:44:417" "MESSAGE" "5.2.IR10       " "Pick And Place: Running"
"2020/07/30 16:47:44:477" "INFO   " " Queuing Event " "PNBShutterOpenCompleted,PNB.CELL.B04.SHUTTER,,,,,"
"2020/07/30 16:47:44:477" "INFO   " "Event to TA[1] " "PNBShutterOpenCompleted,PNB.CELL.B04.SHUTTER,,,,,"
"2020/07/30 16:47:44:627" "DEBUG  " "   Seq Log     " "Reached pos --> x: -175.9938, y: -333.1569, z: -6.379011, pitch: -62.132"
"2020/07/30 16:47:44:627" "DEBUG  " "   Seq Log     " "iStageTC: 2"
"2020/07/30 16:47:44:627" "DEBUG  " "   Seq Log     " "Move X to socket standby position"
"2020/07/30 16:47:45:332" "DEBUG  " "   Seq Log     " "Reached pos --> x: -831.1316, y: -333.6308, z: -6.379, pitch: -62.1325"
"2020/07/30 16:47:45:332" "DEBUG  " "   Seq Log     " "2, Stage completed"
"2020/07/30 16:47:45:332" "MESSAGE" "5.2.IR10       " "Pick And Place: Idle"
"2020/07/30 16:48:01:217" "DEBUG  " "   Seq Log     " "Shuttle move to standby position"
"2020/07/30 16:48:01:217" "DEBUG  " "   Seq Log     " "***Entering FB_ShuttleDoorToShuttle on iConveyorMotorNo 4 at step GoTo_Standby"
"2020/07/30 16:48:02:253" "DEBUG  " "   Seq Log     " "Shuttle reached standby position"
"2020/07/30 16:48:03:617" "DEBUG  " "   Seq Log     " "Shuttle conveyor motors 4 Forward"
"2020/07/30 16:48:04:952" "DEBUG  " "   Seq Log     " "Shuttle conveyor motors 4 stop"
"2020/07/30 16:48:04:952" "DEBUG  " "   Seq Log     " "***Completed FB_ShuttleDoorToShuttle on iConveyorMotorNo 4 at step Done"
"2020/07/30 16:48:05:702" "INFO   " "Cmd from TA[1] " "TrayDispatch,PNB.CELL.B04.SHUTTLE.01,PNB.CELL.B04.LANE.03,,,,"
"2020/07/30 16:48:05:702" "DEBUG  " "   Seq Log     " "TrayDispatch buffer queue count 1 added: "
"2020/07/30 16:48:05:702" "DEBUG  " "   Seq Log     " " +Queue type: Shuttle lane"
"2020/07/30 16:48:05:702" "DEBUG  " "   Seq Log     " " +PNB.CELL.B04.SHUTTLE.01"
"2020/07/30 16:48:05:702" "DEBUG  " "   Seq Log     " " +PNB.CELL.B04.LANE.03"
"2020/07/30 16:48:05:702" "DEBUG  " "   Seq Log     " " +"
"2020/07/30 16:48:05:702" "DEBUG  " "   Seq Log     " " +Retry: FALSE"
"2020/07/30 16:48:05:702" "DEBUG  " "   Seq Log     " "Tray is single move"
"2020/07/30 16:48:05:702" "DEBUG  " "   Seq Log     " "Processing one TrayDispatch buffer from total 1 queue: "
"2020/07/30 16:48:05:702" "DEBUG  " "   Seq Log     " " -Position code:3"
"2020/07/30 16:48:05:702" "DEBUG  " "   Seq Log     " " -PNB.CELL.B04.SHUTTLE.01"
"2020/07/30 16:48:05:702" "DEBUG  " "   Seq Log     " " -PNB.CELL.B04.LANE.03"
"2020/07/30 16:48:05:702" "DEBUG  " "   Seq Log     " " -Retry: FALSE"
"2020/07/30 16:48:05:702" "DEBUG  " "   Seq Log     " "Init exit Shuttle 1, buffer 3, 0 0: AlarmMonitor"
"2020/07/30 16:48:05:777" "DEBUG  " "   Seq Log     " "Shuttle 1, buffer 3, 0 0: CmdDly"
"2020/07/30 16:48:05:807" "DEBUG  " "   Seq Log     " "***Entering FB_Conveyor array 3 at step Pre_Move"
"2020/07/30 16:48:05:807" "DEBUG  " "   Seq Log     " "***Entering FB_Conveyor array 6 at step Pre_Move"
"2020/07/30 16:48:05:822" "DEBUG  " "   Seq Log     " "Shuttle move to target position"
"2020/07/30 16:48:08:102" "DEBUG  " "   Seq Log     " "Shuttle reached target position"
"2020/07/30 16:48:08:117" "DEBUG  " "   Seq Log     " "Buffer conveyor motor 2 forward"
"2020/07/30 16:48:08:117" "DEBUG  " "   Seq Log     " "Shuttle conveyor motor 4 forward"
"2020/07/30 16:48:09:572" "DEBUG  " "   Seq Log     " "Shuttle conveyor motor 4 forward slow"
"2020/07/30 16:48:09:632" "DEBUG  " "   Seq Log     " "Buffer conveyor motor 2 forward slow"
"2020/07/30 16:48:13:113" "DEBUG  " "   Seq Log     " "Buffer conveyor motor 2 forward super slow"
"2020/07/30 16:48:13:113" "DEBUG  " "   Seq Log     " "Shuttle conveyor motor 4 forward super slow"
"2020/07/30 16:48:14:537" "DEBUG  " "   Seq Log     " "Buffer conveyor motor 2 stop"
"2020/07/30 16:48:14:537" "DEBUG  " "   Seq Log     " "Shuttle conveyor motor 4 stop"
"2020/07/30 16:48:14:643" "DEBUG  " "   Seq Log     " "Buffer 3 clamp"
"2020/07/30 16:48:16:817" "DEBUG  " "   Seq Log     " "Buffer 3 unclamp"
"2020/07/30 16:48:17:823" "DEBUG  " "   Seq Log     " "Buffer conveyor motor 2 backward"
"2020/07/30 16:48:18:423" "DEBUG  " "   Seq Log     " "Buffer conveyor motor 2 stop"
"2020/07/30 16:48:18:527" "DEBUG  " "   Seq Log     " "Buffer conveyor motor 2 forward"
"2020/07/30 16:48:21:287" "DEBUG  " "   Seq Log     " "Buffer conveyor motor 2 stop"
"2020/07/30 16:48:21:392" "DEBUG  " "   Seq Log     " "Buffer 3 clamp"
"2020/07/30 16:48:21:392" "DEBUG  " "   Seq Log     " "Counter: 1"
"2020/07/30 16:48:21:392" "DEBUG  " "   Seq Log     " "Buffer 3 clamp"
"2020/07/30 16:48:23:567" "DEBUG  " "   Seq Log     " "Buffer 3 unclamp"
"2020/07/30 16:48:24:572" "DEBUG  " "   Seq Log     " "Buffer conveyor motor 2 backward"
"2020/07/30 16:48:25:172" "DEBUG  " "   Seq Log     " "Buffer conveyor motor 2 stop"
"2020/07/30 16:48:25:277" "DEBUG  " "   Seq Log     " "Buffer conveyor motor 2 forward"
"2020/07/30 16:48:25:682" "DEBUG  " "   Seq Log     " "***Completed FB_Conveyor array 6 at step TrayMoveDone_SL"
"2020/07/30 16:48:28:037" "DEBUG  " "   Seq Log     " "Buffer conveyor motor 2 stop"
"2020/07/30 16:48:28:142" "DEBUG  " "   Seq Log     " "Buffer 3 clamp"
"2020/07/30 16:48:28:142" "DEBUG  " "   Seq Log     " "Counter: 2"
"2020/07/30 16:48:28:142" "DEBUG  " "   Seq Log     " "Buffer 3 clamp"
"2020/07/30 16:48:30:318" "DEBUG  " "   Seq Log     " "Buffer 3 unclamp"
"2020/07/30 16:48:31:338" "DEBUG  " "   Seq Log     " "Buffer conveyor motor 2 backward"
"2020/07/30 16:48:31:923" "DEBUG  " "   Seq Log     " "Buffer conveyor motor 2 stop"
"2020/07/30 16:48:32:043" "DEBUG  " "   Seq Log     " "Buffer conveyor motor 2 forward"
"2020/07/30 16:48:34:787" "DEBUG  " "   Seq Log     " "Buffer conveyor motor 2 stop"
"2020/07/30 16:48:34:893" "DEBUG  " "   Seq Log     " "Buffer 3 clamp"
"2020/07/30 16:48:34:893" "DEBUG  " "   Seq Log     " "Counter: 3"
"2020/07/30 16:48:34:893" "DEBUG  " "   Seq Log     " "Buffer 3 clamp"
"2020/07/30 16:48:37:082" "DEBUG  " "   Seq Log     " "Buffer Lane 3 Tray In Tap 3.0 Times Completed."
"2020/07/30 16:48:37:082" "DEBUG  " "   Seq Log     " "Tray transfer from shuttle lane to buffer lane done"
"2020/07/30 16:48:37:082" "DEBUG  " "   Seq Log     " "***Completed FB_Conveyor array 3 at step TrayMoveDone_SL"
"2020/07/30 16:48:37:113" "DEBUG  " "   Seq Log     " "Init entry Shuttle 1, buffer 3, 0 0: Done"
"2020/07/30 16:48:37:113" "DEBUG  " "   Seq Log     " "Shuttle 1, buffer 3, 0 0: Done"
"2020/07/30 16:48:37:113" "INFO   " " Queuing Event " "TrayDispatchCompleted,PNB.CELL.B04.SHUTTLE.01,PNB.CELL.B04.LANE.03,,,,"
"2020/07/30 16:48:37:127" "INFO   " "Event to TA[1] " "TrayDispatchCompleted,PNB.CELL.B04.SHUTTLE.01,PNB.CELL.B04.LANE.03,,,,"
"2020/07/30 16:48:37:337" "INFO   " "Cmd from TA[1] " "PickAndPlace,PNB.TESTER.B04.02.SOCKET.A01,PNB.CELL.B04.STANDBY.01,PNB.CELL.B04.HEAD.02,0,0,0"
"2020/07/30 16:48:37:337" "DEBUG  " "   Seq Log     " "PicknPlace buffer queue count 1 added: "
"2020/07/30 16:48:37:337" "DEBUG  " "   Seq Log     " " +PNB.TESTER.B04.02.SOCKET.A01"
"2020/07/30 16:48:37:337" "DEBUG  " "   Seq Log     " " +PNB.CELL.B04.STANDBY.01"
"2020/07/30 16:48:37:337" "DEBUG  " "   Seq Log     " " +PNB.CELL.B04.HEAD.02"
"2020/07/30 16:48:37:337" "DEBUG  " "   Seq Log     " " +Retry: FALSE"
"2020/07/30 16:48:37:337" "DEBUG  " "   Seq Log     " "Processing one PickAndPlace buffer from total 1 queue: "
"2020/07/30 16:48:37:337" "DEBUG  " "   Seq Log     " " -PNB.TESTER.B04.02.SOCKET.A01"
"2020/07/30 16:48:37:337" "DEBUG  " "   Seq Log     " " -PNB.CELL.B04.STANDBY.01"
"2020/07/30 16:48:37:337" "DEBUG  " "   Seq Log     " " -PNB.CELL.B04.HEAD.02"
"2020/07/30 16:48:37:337" "DEBUG  " "   Seq Log     " " -Retry: FALSE"
"2020/07/30 16:48:37:337" "INFO   " "Cmd from TA[2] " "PickAndPlace,PNB.CELL.B04.STANDBY.01,PNB.TESTER.B04.02.SOCKET.A01,PNB.CELL.B04.HEAD.01,1,0,0"
"2020/07/30 16:48:37:337" "DEBUG  " "   Seq Log     " "PicknPlace buffer queue count 1 added: "
"2020/07/30 16:48:37:337" "DEBUG  " "   Seq Log     " " +PNB.CELL.B04.STANDBY.01"
"2020/07/30 16:48:37:337" "DEBUG  " "   Seq Log     " " +PNB.TESTER.B04.02.SOCKET.A01"
"2020/07/30 16:48:37:337" "DEBUG  " "   Seq Log     " " +PNB.CELL.B04.HEAD.01"
"2020/07/30 16:48:37:337" "DEBUG  " "   Seq Log     " " +Retry: FALSE"
"2020/07/30 16:48:37:337" "DEBUG  " "   Seq Log     " "Processing one PickAndPlace buffer from total 1 queue: "
"2020/07/30 16:48:37:337" "DEBUG  " "   Seq Log     " " -PNB.CELL.B04.STANDBY.01"
"2020/07/30 16:48:37:337" "DEBUG  " "   Seq Log     " " -PNB.TESTER.B04.02.SOCKET.A01"
"2020/07/30 16:48:37:337" "DEBUG  " "   Seq Log     " " -PNB.CELL.B04.HEAD.01"
"2020/07/30 16:48:37:337" "DEBUG  " "   Seq Log     " " -Retry: FALSE"
"2020/07/30 16:48:37:337" "DEBUG  " "   Seq Log     " "--------Buffered PicknPlace Started with retry FALSE--------"
"2020/07/30 16:48:37:352" "DEBUG  " "   Seq Log     " "Check thermal head is up"
"2020/07/30 16:48:37:367" "DEBUG  " "   Seq Log     " "sSourceTesterNo_Local: 2"
"2020/07/30 16:48:37:367" "DEBUG  " "   Seq Log     " "TIUnumber: 0"
"2020/07/30 16:48:37:367" "DEBUG  " "   Seq Log     " "TIUnumber is 0"
"2020/07/30 16:48:37:367" "DEBUG  " "   Seq Log     " "Move Y & Z to socket 2 standby position"
"2020/07/30 16:48:37:367" "MESSAGE" "5.2.IR10       " "Pick And Place: Running"
"2020/07/30 16:48:37:383" "DEBUG  " "   Seq Log     " "Reached pos --> x: -831.7161, y: -333.6217, z: -6.379, pitch: -62.1325"
"2020/07/30 16:48:37:383" "DEBUG  " "   Seq Log     " "Move X to socket 2 standby position"
"2020/07/30 16:48:37:713" "DEBUG  " "   Seq Log     " "Reached pos --> x: -744.5176, y: -333.6103, z: -6.379017, pitch: -62.1325"
"2020/07/30 16:48:37:727" "DEBUG  " "   Seq Log     " "Move XY to socket 2 pick position"
"2020/07/30 16:48:37:727" "DEBUG  " "   Seq Log     " "XY socket pick pos: -743.716, -676.891, XY AO: -8.44668e-2, -1.5829e-2, X pick offset: 0.0"
"2020/07/30 16:48:37:727" "DEBUG  " "   Seq Log     " "Final XYZ socket pick pos to be moved --> x: -743.6315332, y: -676.906829, z: -15.73"
"2020/07/30 16:48:38:177" "DEBUG  " "   Seq Log     " "Reached pos --> x: -743.6313, y: -676.4414, z: -6.379011, pitch: -62.1355"
"2020/07/30 16:48:38:177" "DEBUG  " "   Seq Log     " "Move Z to socket 2 pick position & Pick Head 2 down, vacuum ON"
"2020/07/30 16:48:38:703" "DEBUG  " "   Seq Log     " "Shuttle move to standby position"
"2020/07/30 16:48:38:703" "DEBUG  " "   Seq Log     " "***Entering FB_ShuttleDoorToShuttle on iConveyorMotorNo 5 at step GoTo_Standby"
"2020/07/30 16:48:38:897" "DEBUG  " "   Seq Log     " "Reached pos --> x: -743.6327, y: -676.9075, z: -15.729996, pitch: -62.1325"
"2020/07/30 16:48:38:897" "DEBUG  " "   Seq Log     " "Unit Count : 17589.0"
"2020/07/30 16:48:38:912" "DEBUG  " "   Seq Log     " "Move Z to socket standby and pick heads up"
"2020/07/30 16:48:39:122" "DEBUG  " "   Seq Log     " "Reached pos --> x: -743.6305, y: -676.9051, z: -6.634918, pitch: -62.132"
"2020/07/30 16:48:39:122" "DEBUG  " "   Seq Log     " "Check fail to pick"
"2020/07/30 16:48:39:122" "DEBUG  " "   Seq Log     " "Head 1: vacuum on TRUE, analog 3872, pressure -90.6872768333995"
"2020/07/30 16:48:39:122" "DEBUG  " "   Seq Log     " "Head 2: vacuum on TRUE, analog 3911, pressure -90.4431287575915"
"2020/07/30 16:48:39:122" "DEBUG  " "   Seq Log     " "Head 3: vacuum on FALSE, analog 9885, pressure 1.2649922177801"
"2020/07/30 16:48:39:122" "DEBUG  " "   Seq Log     " "Head 4: vacuum on FALSE, analog 9842, pressure 5.47807245094134e-1"
"2020/07/30 16:48:39:137" "DEBUG  " "   Seq Log     " "Pick unit from socket 2 to standby done"
"2020/07/30 16:48:39:137" "INFO   " " Queuing Event " "PickAndPlaceCompleted,PNB.TESTER.B04.02.SOCKET.A01,PNB.CELL.B04.STANDBY.01,PNB.CELL.B04.HEAD.02,0,0,0"
"2020/07/30 16:48:39:137" "INFO   " "Event to TA[1] " "PickAndPlaceCompleted,PNB.TESTER.B04.02.SOCKET.A01,PNB.CELL.B04.STANDBY.01,PNB.CELL.B04.HEAD.02,0,0,0"
"2020/07/30 16:48:39:153" "MESSAGE" "5.2.IR10       " "Pick And Place: Idle"
"2020/07/30 16:48:39:167" "DEBUG  " "   Seq Log     " "Check thermal head is up"
"2020/07/30 16:48:39:183" "DEBUG  " "   Seq Log     " "sDestTesterNo_Local: 2"
"2020/07/30 16:48:39:183" "DEBUG  " "   Seq Log     " "TIUnumber: 2"
"2020/07/30 16:48:39:183" "MESSAGE" "5.2.IR10       " "Pick And Place: Running"
"2020/07/30 16:48:39:183" "DEBUG  " "   Seq Log     " "Reached pos --> x: -743.631, y: -676.9065, z: -6.385506, pitch: -62.132"
"2020/07/30 16:48:39:183" "DEBUG  " "   Seq Log     " "Move X to socket 2 standby position"
"2020/07/30 16:48:39:512" "DEBUG  " "   Seq Log     " "Reached pos --> x: -830.8841, y: -676.9149, z: -6.378994, pitch: -62.1325"
"2020/07/30 16:48:39:527" "DEBUG  " "   Seq Log     " "Move X and Y to socket 2 place position"
"2020/07/30 16:48:39:527" "DEBUG  " "   Seq Log     " "XY socket place pos: -831.716, -676.891, XY AO: -8.44668e-2, -1.12629e-1, X pick offset: 0.0"
"2020/07/30 16:48:39:527" "DEBUG  " "   Seq Log     " "Final XYZ socket place pos to be moved --> x: -831.6315332, y: -677.003629, z: -11.65"
"2020/07/30 16:48:39:573" "DEBUG  " "   Seq Log     " "Reached pos --> x: -831.5111, y: -676.933, z: -6.379, pitch: -62.1325"
"2020/07/30 16:48:39:573" "DEBUG  " "   Seq Log     " "Check unit drop"
"2020/07/30 16:48:39:573" "DEBUG  " "   Seq Log     " "Head 1: vacuum on TRUE, analog 3877, pressure -90.8398693807795"
"2020/07/30 16:48:39:573" "DEBUG  " "   Seq Log     " "Head 2: vacuum on TRUE, analog 3894, pressure -90.5804620502335"
"2020/07/30 16:48:39:573" "DEBUG  " "   Seq Log     " "Head 3: vacuum on FALSE, analog 9900, pressure 1.06662190618613"
"2020/07/30 16:48:39:573" "DEBUG  " "   Seq Log     " "Head 4: vacuum on FALSE, analog 9851, pressure 3.18918424024162e-1"
"2020/07/30 16:48:39:573" "DEBUG  " "   Seq Log     " "Move Z to socket 2 place position and pick head 1 down"
"2020/07/30 16:48:39:752" "DEBUG  " "   Seq Log     " "Reached pos --> x: -831.6571, y: -677.036, z: -11.029472, pitch: -62.132"
"2020/07/30 16:48:40:262" "DEBUG  " "   Seq Log     " "Pick Head 1 purge"
"2020/07/30 16:48:40:352" "DEBUG  " "   Seq Log     " "When Drop, Pick Head 1 purge 6.95669423505356kPa"
"2020/07/30 16:48:40:352" "DEBUG  " "   Seq Log     " "PickHead1_VacThreshold_Purge 20.0kPa"
"2020/07/30 16:48:40:352" "DEBUG  " "   Seq Log     " "PickHead2_VacThreshold_Purge 20.0kPa"
"2020/07/30 16:48:40:352" "DEBUG  " "   Seq Log     " "PickHead3_VacThreshold_Purge 20.0kPa"
"2020/07/30 16:48:40:352" "DEBUG  " "   Seq Log     " "PickHead4_VacThreshold_Purge 20.0kPa"
"2020/07/30 16:48:40:352" "DEBUG  " "   Seq Log     " "bHead1PurgeSwOn TRUE"
"2020/07/30 16:48:40:352" "DEBUG  " "   Seq Log     " "bHead2PurgeSwOn TRUE"
"2020/07/30 16:48:40:352" "DEBUG  " "   Seq Log     " "bHead3PurgeSwOn TRUE"
"2020/07/30 16:48:40:352" "DEBUG  " "   Seq Log     " "bHead4PurgeSwOn TRUE"
"2020/07/30 16:48:40:352" "DEBUG  " "   Seq Log     " "bHeadGotIC TRUE"
"2020/07/30 16:48:40:352" "DEBUG  " "   Seq Log     " "bHeadGotIC TRUE"
"2020/07/30 16:48:40:352" "DEBUG  " "   Seq Log     " "bHeadGotIC FALSE"
"2020/07/30 16:48:40:352" "DEBUG  " "   Seq Log     " "bHeadGotIC FALSE"
"2020/07/30 16:48:40:352" "DEBUG  " "   Seq Log     " "Move Z to socket standby and pick head 1 up"
"2020/07/30 16:48:40:547" "DEBUG  " "   Seq Log     " "When Head Up, Pick Head 1 purge 8.46736045411541kPa"
"2020/07/30 16:48:40:547" "DEBUG  " "   Seq Log     " "Pick Head 1 purge off"
"2020/07/30 16:48:40:547" "DEBUG  " "   Seq Log     " "Reached pos --> x: -831.6307, y: -676.9928, z: -6.502247, pitch: -62.1325"
"2020/07/30 16:48:40:547" "DEBUG  " "   Seq Log     " "bHead1PurgeMonitor FALSE"
"2020/07/30 16:48:40:547" "DEBUG  " "   Seq Log     " "bHead2PurgeMonitor FALSE"
"2020/07/30 16:48:40:547" "DEBUG  " "   Seq Log     " "bHead3PurgeMonitor FALSE"
"2020/07/30 16:48:40:547" "DEBUG  " "   Seq Log     " "bHead4PurgeMonitor FALSE"
"2020/07/30 16:48:40:652" "DEBUG  " "   Seq Log     " "Head 1: vacuum on TRUE, analog 8537, pressure -20.00640888699"
"2020/07/30 16:48:40:652" "DEBUG  " "   Seq Log     " "Head 2: vacuum on TRUE, analog 4302, pressure -84.3394268623921"
"2020/07/30 16:48:40:652" "DEBUG  " "   Seq Log     " "Head 3: vacuum on FALSE, analog 9890, pressure 1.03610339671013"
"2020/07/30 16:48:40:652" "DEBUG  " "   Seq Log     " "Head 4: vacuum on FALSE, analog 9841, pressure 3.03659169286163e-1"
"2020/07/30 16:48:40:667" "DEBUG  " "   Seq Log     " "Move Y to socket 2 standby position"
"2020/07/30 16:48:40:982" "DEBUG  " "   Seq Log     " "Shuttle reached standby position"
"2020/07/30 16:48:40:997" "DEBUG  " "   Seq Log     " "Shuttle conveyor motors 5 Forward"
